published_datetime,published_time,publisher,scraped_at,thumbnail_url
2025-06-03T02:14:01.086897,7 hours ago,"Microsoft to invest $400 million in Switzerland on AI, cloud computing",2025-06-03T09:14:01.085896,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T01:14:01.088896,8 hours ago,AI stirs up the recipe for concrete in MIT study,2025-06-03T09:14:01.087895,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://news.mit.edu&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T04:14:01.090896,5 hours ago,"AI Startup’s Digital Storefronts Prepare Brands for AI Searches, Agentic Economy",2025-06-03T09:14:01.089898,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.pymnts.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T03:14:01.093900,6 hours ago,US FDA launches AI tool to reduce time taken for scientific reviews,2025-06-03T09:14:01.092898,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T06:14:01.095897,3 hours ago,Meta to Use GenAI to Automate Ad Creation and Targeting,2025-06-03T09:14:01.094896,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.pymnts.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T01:14:01.097899,8 hours ago,IBM Unveils watsonx AI Labs in New York City,2025-06-03T09:14:01.096900,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://insideainews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-02T21:14:01.100897,12 hours ago,"McKinsey Leans On AI to Make PowerPoints, Draft Proposals",2025-06-03T09:14:01.098899,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.bloomberg.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T00:14:01.102900,9 hours ago,‘Change of era’ prompts Catholic University of America to launch new degrees in AI,2025-06-03T09:14:01.100897,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.osvnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T00:14:01.104901,9 hours ago,"Salesforce buys Moonhub, a startup building AI tools for hiring",2025-06-03T09:14:01.103900,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://techcrunch.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-31T09:14:01.108902,3 days ago,Meta plans to replace humans with AI to assess privacy and societal risks,2025-06-03T09:14:01.105902,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.npr.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
